"LOC_BLANK","BRANCH_COUNT","CALL_PAIRS","LOC_CODE_AND_COMMENT","LOC_COMMENTS","CONDITION_COUNT","CYCLOMATIC_COMPLEXITY","CYCLOMATIC_DENSITY","DECISION_COUNT","DESIGN_COMPLEXITY","DESIGN_DENSITY","EDGE_COUNT","ESSENTIAL_COMPLEXITY","ESSENTIAL_DENSITY","LOC_EXECUTABLE","PARAMETER_COUNT","GLOBAL_DATA_COMPLEXITY","GLOBAL_DATA_DENSITY","HALSTEAD_CONTENT","HALSTEAD_DIFFICULTY","HALSTEAD_EFFORT","HALSTEAD_ERROR_EST","HALSTEAD_LENGTH","HALSTEAD_LEVEL","HALSTEAD_PROG_TIME","HALSTEAD_VOLUME","MAINTENANCE_SEVERITY","MODIFIED_CONDITION_COUNT","MULTIPLE_CONDITION_COUNT","NODE_COUNT","NORMALIZED_CYLOMATIC_COMPLEXITY","NUM_OPERANDS","NUM_OPERATORS","NUM_UNIQUE_OPERANDS","NUM_UNIQUE_OPERATORS","NUMBER_OF_LINES","PERCENT_COMMENTS","LOC_TOTAL","Defective"
0,1,0,0,0,0,1,0.2,0,1,1,1,1,0,5,0,1,1,3.7,3,33.28,0,7,0.33,1.85,11.09,1,0,0,2,0.17,3,4,1,2,6,0,5,"N"
0,1,2,0,1,0,1,0.2,0,1,1,3,1,0,5,0,0,0,6.19,2.25,31.35,0,6,0.44,1.74,13.93,1,0,0,4,0.14,3,3,2,3,7,16.67,5,"N"
0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0,11.61,1,0,0,2,1,0,5,0,5,1,0,0,"N"
0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,1,1,3,1,3,1,0,0,"N"
0,1,0,0,0,0,1,0.17,0,1,1,1,1,0,6,0,1,1,2.5,2,10,0,5,0.5,0.56,5,1,0,0,2,0.14,4,1,1,1,7,0,6,"N"
2,3,4,0,1,4,2,0.11,2,1,0.5,11,1,0,18,0,1,0.5,20.37,7,998.37,0.05,33,0.14,55.46,142.62,0.5,1,2,11,0.09,21,12,12,8,22,5.26,18,"Y"
0,1,0,3,1,0,1,0.25,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,2,0.17,1,0,1,0,6,80,4,"N"
3,1,1,0,0,0,1,0.1,0,1,1,2,1,0,10,0,1,1,86,1.6,220.17,0.05,33,0.63,12.23,137.61,1,0,0,3,0.07,16,17,15,3,14,0,10,"N"
2,1,1,0,0,0,1,0.07,0,1,1,2,1,0,15,0,0,0,2.14,7,105,0.01,15,0.14,5.83,15,1,0,0,3,0.06,14,1,1,1,18,0,15,"N"
2,1,1,0,0,0,1,0.25,0,1,1,2,1,0,4,0,0,0,3,1,3,0,3,1,0.17,3,1,0,0,3,0.14,2,1,1,1,7,0,4,"N"
2,1,1,0,0,0,1,0.09,0,1,1,2,1,0,11,0,0,0,2.22,4.5,45,0,10,0.22,2.5,10,1,0,0,3,0.07,9,1,1,1,14,0,11,"Y"
5,17,6,6,1,26,9,0.26,10,4,0.44,37,1,0,29,0,6,0.67,37.43,14.58,7959.36,0.18,104,0.07,442.19,545.78,0.11,8,13,30,0.21,50,54,24,14,42,19.44,35,"Y"
10,3,2,1,12,4,2,0.05,2,1,0.5,13,1,0,37,0,2,1,73.84,15.89,18648.73,0.39,209,0.06,1036.04,1173.47,0.5,1,2,13,0.03,98,111,37,12,61,26,38,"Y"
2,1,1,0,0,0,1,0.1,0,1,1,2,1,0,10,0,0,0,2.22,4.5,45,0,10,0.22,2.5,10,1,0,0,3,0.08,9,1,1,1,13,0,10,"N"
0,3,1,0,0,4,2,0.33,2,1,0.5,8,1,0,6,0,0,0,7.75,6,279.04,0.02,14,0.17,15.5,46.51,0.5,1,2,8,0.29,8,6,4,6,7,0,6,"N"
0,1,3,0,0,0,1,0.07,0,1,1,4,1,0,15,0,0,0,6.05,10.67,688.74,0.02,23,0.09,38.26,64.56,1,0,0,5,0.06,16,7,3,4,16,0,15,"N"
1,1,3,0,1,0,1,0.08,0,1,1,4,1,0,12,0,0,0,7.5,9.75,712.55,0.02,22,0.1,39.59,73.08,1,0,0,5,0.07,13,9,4,6,15,7.69,12,"Y"
0,1,1,0,0,0,1,0.25,0,1,1,2,1,0,4,0,0,0,2.67,1.5,6,0,4,0.67,0.33,4,1,0,0,3,0.2,3,1,1,1,5,0,4,"N"
0,1,0,0,0,0,1,0.25,0,1,1,1,1,0,4,0,1,1,8.45,0.75,4.75,0,4,1.33,0.26,6.34,1,0,0,2,0.2,3,1,2,1,5,0,4,"N"
0,1,2,0,1,0,1,0.33,0,1,1,3,1,0,3,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,4,0.2,1,3,1,3,5,25,3,"N"
0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,2,1,2,3,2,3,1,0,0,"N"
1,1,3,0,1,0,1,0.06,0,1,1,4,1,0,18,0,0,0,3.68,12,529.4,0.01,19,0.08,29.41,44.12,1,0,0,5,0.05,16,3,2,3,21,5.26,18,"Y"
2,3,7,0,0,4,2,0.1,2,1,0.5,15,1,0,20,0,1,0.5,39.65,9.25,3392.87,0.12,80,0.11,188.49,366.8,0.5,1,2,15,0.09,37,43,16,8,23,0,20,"N"
1,1,2,0,0,0,1,0.04,0,1,1,16,1,0,25,0,1,1,37.87,17.5,11598.34,0.22,141,0.06,644.35,662.76,1,0,0,17,0.04,56,85,16,10,27,0,25,"Y"
3,3,3,1,2,4,2,0.15,2,1,0.5,10,1,0,12,0,1,0.5,29.86,6.57,1289.41,0.07,44,0.15,71.63,196.21,0.5,1,2,10,0.11,23,21,14,8,19,20,13,"N"
0,1,0,1,1,0,1,0.5,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0.25,1,0,1,0,4,66.67,2,"N"
1,1,1,0,0,0,1,0.2,0,1,1,2,1,0,5,0,0,0,2.67,1.5,6,0,4,0.67,0.33,4,1,0,0,3,0.14,3,1,1,1,7,0,5,"N"
1,5,1,0,2,8,3,0.2,4,1,0.33,15,1,0,15,0,0,0,15.21,9,1232.25,0.05,37,0.11,68.46,136.92,0.33,2,4,14,0.16,21,16,7,6,19,11.76,15,"N"
6,21,9,8,6,26,11,0.19,6,1,0.09,41,9,0.8,49,0,3,0.27,62.81,18.93,22497.56,0.4,214,0.05,1249.86,1188.68,0.82,10,13,32,0.16,99,115,34,13,70,22.22,57,"N"
0,1,0,0,0,0,1,0.08,0,1,1,1,1,0,12,0,1,1,13.2,1.67,36.67,0.01,11,0.6,2.04,22,1,0,0,2,0.08,10,1,3,1,13,0,12,"N"
0,1,2,0,0,0,1,0.17,0,1,1,3,1,0,6,0,0,0,10.8,2.5,67.5,0.01,9,0.4,3.75,27,1,0,0,4,0.14,5,4,4,4,7,0,6,"N"
0,1,1,0,0,0,1,0.11,0,1,1,2,1,0,9,0,0,0,2.29,3.5,28,0,8,0.29,1.56,8,1,0,0,3,0.1,7,1,1,1,10,0,9,"N"
0,1,0,0,0,0,1,0.17,0,1,1,1,1,0,6,0,0,0,7.92,1,7.92,0,5,1,0.44,7.92,1,0,0,2,0.14,4,1,2,1,7,0,6,"N"
0,1,1,0,0,0,1,0.2,0,1,1,2,1,0,5,0,0,0,16.21,2.25,82.12,0.01,13,0.44,4.56,36.5,1,0,0,3,0.17,6,7,4,3,6,0,5,"Y"
1,1,1,0,0,0,1,0.05,0,1,1,2,1,0,20,0,0,0,130.16,2.57,860.66,0.11,73,0.39,47.81,334.7,1,0,0,3,0.05,36,37,21,3,22,0,20,"N"
0,3,1,2,0,4,2,0.17,2,1,0.5,7,1,0,10,0,1,0.5,15.95,5.25,439.75,0.03,22,0.19,24.43,83.76,0.5,1,2,7,0.15,14,8,8,6,13,16.67,12,"N"
1,1,1,0,1,0,1,0.33,0,1,1,2,1,0,3,0,1,1,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,3,0.17,2,3,2,3,6,25,3,"N"
1,1,1,0,0,0,1,0.02,0,1,1,2,1,0,59,0,1,1,480.28,2.85,3901.07,0.46,229,0.35,216.73,1368.8,1,0,0,3,0.02,114,115,60,3,61,0,59,"Y"
1,1,2,0,1,0,1,0.07,0,1,1,3,1,0,14,0,0,0,3.87,9,313.46,0.01,15,0.11,17.41,34.83,1,0,0,4,0.06,12,3,2,3,17,6.67,14,"N"
0,1,1,0,1,0,1,0.05,0,1,1,2,1,0,21,0,0,0,4.63,24,2667.68,0.04,43,0.04,148.2,111.15,1,0,0,3,0.04,24,19,2,4,23,4.55,21,"N"
4,43,1,3,0,84,22,0.05,42,2,0.09,137,1,0,479,0,5,0.23,1643.15,10.81,192184.74,5.92,2029,0.09,10676.93,17770.43,0.05,21,42,117,0.05,1019,1010,424,9,487,0.62,482,"N"
0,1,1,0,0,0,1,0.25,0,1,1,2,1,0,4,0,1,1,16.84,1.5,37.9,0.01,9,0.67,2.11,25.27,1,0,0,3,0.2,4,5,4,3,5,0,4,"N"
1,1,3,0,9,0,1,0.04,0,1,1,6,1,0,26,0,0,0,89.88,6.23,3489.23,0.19,112,0.16,193.85,560,1,0,0,7,0.03,54,58,26,6,37,25.71,26,"N"
12,26,2,7,18,40,15,0.16,20,1,0.07,69,1,0,89,0,15,1,84.34,26.33,58449.54,0.74,342,0.04,3247.2,2220.21,0.07,10,20,56,0.12,173,169,69,21,127,21.93,96,"N"
0,1,1,0,0,0,1,0.33,0,1,1,2,1,0,3,0,0,0,4,0.5,1,0,2,2,0.06,2,1,0,0,3,0.25,1,1,1,1,4,0,3,"N"
7,1,5,0,0,0,1,0.03,0,1,1,6,1,0,32,0,0,0,5.1,22,2470.47,0.04,40,0.05,137.25,112.29,1,0,0,7,0.03,33,7,3,4,40,0,32,"N"
1,1,2,0,1,0,1,0.09,0,1,1,6,1,0,11,0,0,0,14.11,12.5,2205.39,0.06,51,0.08,122.52,176.43,1,0,0,7,0.07,30,21,6,5,14,8.33,11,"Y"
0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,"N"
0,1,0,0,0,0,1,0.2,0,1,1,1,1,0,5,0,1,1,2.67,1.5,6,0,4,0.67,0.33,4,1,0,0,2,0.17,3,1,1,1,6,0,5,"N"
0,1,3,0,0,0,1,0.04,0,1,1,10,1,0,27,0,1,1,29.42,8.5,2125.35,0.08,64,0.12,118.07,250.04,1,0,0,11,0.04,34,30,10,5,28,0,27,"Y"
0,1,1,0,0,0,1,0.08,0,1,1,2,1,0,12,0,0,0,2.2,5,55,0,11,0.2,3.06,11,1,0,0,3,0.08,10,1,1,1,13,0,12,"N"
2,5,1,0,3,8,3,0.18,4,1,0.33,14,1,0,17,0,0,0,11.61,10.5,1279.83,0.04,34,0.1,71.1,121.89,0.33,2,4,13,0.13,21,13,6,6,23,15,17,"N"
0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,"N"
2,1,2,0,1,0,1,0.03,0,1,1,3,1,0,32,0,1,1,229.37,2.73,1706.08,0.21,121,0.37,94.78,625.56,1,0,0,4,0.03,60,61,33,3,36,3.03,32,"Y"
0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,4.75,1,0,0,2,1,0,3,0,3,1,0,0,"N"
0,1,0,0,0,0,1,0.11,0,1,1,1,1,0,9,0,1,1,21.23,0.88,16.25,0.01,8,1.14,0.9,18.58,1,0,0,2,0.1,7,1,4,1,10,0,9,"N"
0,1,2,0,0,0,1,0.14,0,1,1,3,1,0,7,0,0,0,10,3,90,0.01,10,0.33,5,30,1,0,0,4,0.13,6,4,4,4,8,0,7,"N"
7,1,2,0,2,0,1,0.03,0,1,1,21,1,0,39,0,0,0,74.43,12.73,12056.63,0.32,195,0.08,669.81,947.31,1,0,0,22,0.02,80,115,22,7,49,4.88,39,"Y"
3,11,1,0,0,20,6,0.03,10,1,0.17,36,1,0,187,0,1,0.17,894.09,6.47,37418.93,1.93,768,0.15,2078.83,5784.1,0.17,5,10,32,0.03,386,382,179,6,191,0,187,"N"
0,1,1,0,0,0,1,0.33,0,1,1,2,1,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0.25,0,1,0,1,4,0,3,"N"
3,1,1,0,0,0,1,0.1,0,1,1,2,1,0,10,0,1,1,78.68,1.71,231.23,0.04,33,0.58,12.85,134.89,1,0,0,3,0.07,16,17,14,3,14,0,10,"N"
4,9,3,9,7,16,5,0.16,8,1,0.2,22,1,0,22,0,4,0.8,47.85,9.2,4046.09,0.15,88,0.11,224.78,440,0.2,4,8,19,0.12,47,41,23,9,43,42.11,31,"Y"
2,1,1,0,0,0,1,0.25,0,1,1,2,1,0,4,0,0,0,2.67,1.5,6,0,4,0.67,0.33,4,1,0,0,3,0.14,3,1,1,1,7,0,4,"N"
