"LOC_BLANK","BRANCH_COUNT","CALL_PAIRS","LOC_CODE_AND_COMMENT","LOC_COMMENTS","CONDITION_COUNT","CYCLOMATIC_COMPLEXITY","CYCLOMATIC_DENSITY","DECISION_COUNT","DECISION_DENSITY","DESIGN_COMPLEXITY","DESIGN_DENSITY","EDGE_COUNT","ESSENTIAL_COMPLEXITY","ESSENTIAL_DENSITY","LOC_EXECUTABLE","PARAMETER_COUNT","HALSTEAD_CONTENT","HALSTEAD_DIFFICULTY","HALSTEAD_EFFORT","HALSTEAD_ERROR_EST","HALSTEAD_LENGTH","HALSTEAD_LEVEL","HALSTEAD_PROG_TIME","HALSTEAD_VOLUME","MAINTENANCE_SEVERITY","MODIFIED_CONDITION_COUNT","MULTIPLE_CONDITION_COUNT","NODE_COUNT","NORMALIZED_CYLOMATIC_COMPLEXITY","NUM_OPERANDS","NUM_OPERATORS","NUM_UNIQUE_OPERANDS","NUM_UNIQUE_OPERATORS","NUMBER_OF_LINES","PERCENT_COMMENTS","LOC_TOTAL","Defective"
39,9,2,5,21,16,5,0.22,8,2,2,0.4,19,1,0,18,0,27.16,17,7847.8,0.15,90,0.06,435.99,461.64,0.2,4,8,16,0.06,36,54,18,17,84,59.09,23,"N"
1,7,0,0,0,0,4,0.4,0,0,1,0.25,16,1,0,10,3,8.7,21.6,4061.3,0.06,46,0.05,225.63,188.02,0.25,0,0,14,0.33,18,28,5,12,12,0,10,"N"
1,84,0,1,0,0,47,0.75,0,0,1,0.02,153,5,0.09,62,1,49.53,53.67,142651.41,0.89,450,0.02,7925.08,2658.1,0.11,0,0,108,0.72,161,289,36,24,65,1.59,63,"N"
15,3,1,2,9,4,2,0.2,2,2,1,0.5,8,1,0,8,1,16.9,16.55,4627.48,0.09,61,0.06,257.07,279.68,0.5,1,2,8,0.06,28,33,11,13,35,57.89,10,"N"
13,26,4,1,1,0,14,0.3,0,0,11,0.79,59,7,0.46,45,2,31.37,40.5,51461.36,0.42,216,0.02,2858.96,1270.65,0.5,0,0,47,0.23,96,120,32,27,61,4.26,46,"N"
1,15,1,5,5,0,9,0.31,0,0,4,0.44,35,4,0.38,24,0,31.55,35.27,39260.76,0.37,190,0.03,2181.15,1113.02,0.44,0,0,28,0.25,81,109,31,27,36,29.41,29,"N"
1,7,3,0,0,0,4,0.36,0,0,2,0.5,14,3,0.67,11,1,24.22,12.71,3909.7,0.1,61,0.08,217.21,307.71,0.75,0,0,12,0.31,27,34,17,16,13,0,11,"N"
1,5,0,1,0,0,3,0.27,0,0,1,0.33,10,1,0,10,2,14,10.83,1642.56,0.05,34,0.09,91.25,151.62,0.33,0,0,9,0.23,15,19,9,13,13,9.09,11,"N"
3,13,5,0,0,0,7,0.41,0,0,6,0.86,32,6,0.83,17,1,25.42,19.69,9851.11,0.17,101,0.05,547.28,500.37,0.86,0,0,27,0.33,42,59,16,15,21,0,17,"N"
24,9,3,6,16,16,5,0.14,8,2,4,0.8,24,1,0,30,1,30.18,28,23660,0.28,169,0.04,1314.44,845,0.2,4,8,21,0.06,72,97,18,14,77,42.31,36,"N"
2,13,1,0,0,0,7,0.64,0,0,5,0.71,25,6,0.83,11,1,7.1,27.62,5419.98,0.07,48,0.04,301.11,196.2,0.86,0,0,20,0.5,17,31,4,13,14,0,11,"N"
18,7,1,4,27,10,4,0.17,4,2.5,2,0.5,12,3,0.67,19,2,26.4,21.18,11839.59,0.19,109,0.05,657.76,559.09,0.75,3,5,10,0.06,40,69,17,18,69,62,23,"N"
12,27,1,3,7,0,15,0.41,0,0,6,0.4,57,10,0.64,34,0,39.17,59.96,140810.71,0.78,396,0.02,7822.82,2348.57,0.67,0,0,44,0.26,151,245,34,27,57,22.73,37,"N"
1,17,9,0,0,28,9,0.27,14,2,8,0.89,43,1,0,33,0,44.48,19.35,16663.77,0.29,155,0.05,925.76,860.96,0.11,7,14,36,0.26,75,80,31,16,35,0,33,"N"
1,9,1,0,0,0,5,0.28,0,0,1,0.2,22,1,0,18,1,11.83,26,7994.02,0.1,70,0.04,444.11,307.46,0.2,0,0,19,0.25,32,38,8,13,20,0,18,"N"
1,1,0,0,0,0,1,0.1,0,0,1,1,1,1,0,10,1,20.35,8.44,1448.49,0.06,42,0.12,80.47,171.67,1,0,0,2,0.08,15,27,8,9,12,0,10,"N"
5,19,2,0,0,0,10,0.5,0,0,6,0.6,39,1,0,20,2,24.97,22.95,13151.27,0.19,110,0.04,730.63,573.04,0.1,0,0,31,0.38,54,56,20,17,26,0,20,"N"
2,12,1,0,4,0,7,0.33,0,0,2,0.29,24,7,1,21,0,20.89,24.94,12991.07,0.17,100,0.04,721.73,520.95,1,0,0,19,0.25,38,62,16,21,28,16,21,"N"
1,15,4,0,1,0,8,0.42,0,0,8,1,27,8,1,19,1,22.78,18,7380,0.14,82,0.06,410,410,1,0,0,21,0.36,36,46,16,16,22,5,19,"N"
30,11,3,9,27,18,6,0.17,8,2.25,4,0.67,23,4,0.6,26,1,31.74,23.96,18214.54,0.25,141,0.04,1011.92,760.32,0.67,5,9,19,0.06,58,83,23,19,93,58.06,35,"N"
1,5,1,0,0,0,3,0.2,0,0,1,0.33,9,3,1,15,1,28.29,26.03,19171.54,0.25,146,0.04,1065.09,736.48,1,0,0,8,0.18,49,97,16,17,17,0,15,"N"
1,1,1,0,0,0,1,0.1,0,0,1,1,2,1,0,10,2,14.99,5.33,426.42,0.03,21,0.19,23.69,79.95,1,0,0,3,0.08,8,13,6,8,12,0,10,"N"
1,11,0,0,0,0,6,0.26,0,0,1,0.17,23,6,1,23,1,21.82,26.11,14874.09,0.19,115,0.04,826.34,569.73,1,0,0,19,0.24,43,72,14,17,25,0,23,"N"
22,13,4,8,23,24,7,0.27,12,2,5,0.71,30,1,0,18,0,32.65,14.37,6740.64,0.16,93,0.07,374.48,469.13,0.14,6,12,25,0.1,39,54,19,14,72,63.27,26,"N"
3,37,7,4,0,0,19,0.38,0,0,12,0.63,88,11,0.56,46,2,37.9,41.66,65784.09,0.53,277,0.02,3654.67,1579.02,0.58,0,0,71,0.35,123,154,31,21,54,8,50,"N"
1,1,0,0,0,0,1,0.17,0,0,1,1,1,1,0,6,1,8.31,7.33,446.73,0.02,16,0.14,24.82,60.92,1,0,0,2,0.13,4,12,3,11,8,0,6,"N"
12,5,2,0,13,8,3,0.27,4,2,1,0.33,11,1,0,11,0,27.67,6.54,1183.09,0.06,40,0.15,65.73,180.94,0.33,2,4,10,0.08,17,23,13,10,37,54.17,11,"N"
1,9,1,0,0,0,5,0.28,0,0,2,0.4,22,1,0,18,4,17.34,20.09,7000.82,0.12,76,0.05,388.93,348.46,0.2,0,0,19,0.25,34,42,11,13,20,0,18,"N"
0,9,0,0,0,0,5,0.83,0,0,1,0.2,13,5,1,6,1,18.02,6.29,712.17,0.04,29,0.16,39.57,113.3,1,0,0,10,0.71,11,18,7,8,7,0,6,"N"
1,36,2,1,0,0,21,0.42,0,0,6,0.29,77,9,0.4,49,5,29.75,68.5,139594.59,0.68,345,0.01,7755.26,2037.88,0.43,0,0,58,0.4,137,208,30,30,52,2,50,"N"
5,1,0,0,0,0,1,0.07,0,0,1,1,1,1,0,15,3,29.54,9.6,2722.13,0.09,68,0.1,151.23,283.55,1,0,0,2,0.05,24,44,10,8,21,0,15,"N"
4,11,4,0,3,0,6,0.25,0,0,4,0.67,22,4,0.6,24,2,26.34,18.81,9323.4,0.17,101,0.05,517.97,495.6,0.67,0,0,18,0.19,43,58,16,14,32,11.11,24,"N"
1,5,2,0,1,0,3,0.25,0,0,3,1,10,3,1,12,2,18.7,10.4,2022.94,0.06,43,0.1,112.39,194.51,1,0,0,9,0.2,16,27,10,13,15,7.69,12,"N"
2,5,1,0,0,0,3,0.38,0,0,2,0.67,9,1,0,8,1,11.16,14.08,2213.52,0.05,37,0.07,122.97,157.17,0.33,0,0,8,0.27,13,24,6,13,11,0,8,"N"
0,3,0,0,0,0,2,1,0,0,1,0.5,6,1,0,0,0,9.51,4,152.16,0.01,12,0.25,8.45,38.04,0.5,0,0,6,2,4,8,3,6,1,0,0,"N"
4,41,23,4,3,0,21,0.28,0,0,20,0.95,123,11,0.5,71,1,65.4,42.25,116749.16,0.92,430,0.02,6486.06,2763.29,0.52,0,0,104,0.25,195,235,60,26,83,8.97,75,"N"
26,9,3,7,25,16,5,0.17,8,2,3,0.6,22,1,0,22,0,29.78,16.47,8078.25,0.16,99,0.06,448.79,490.47,0.2,4,8,19,0.06,40,59,17,14,81,59.26,29,"N"
0,13,0,0,0,0,7,1,0,0,1,0.14,19,7,1,7,1,23.57,7.11,1191.72,0.06,41,0.14,66.21,167.59,1,0,0,14,0.88,16,25,9,8,8,0,7,"N"
2,3,0,0,0,0,2,0.11,0,0,1,0.5,5,1,0,18,3,32.7,11.79,4542.69,0.13,83,0.08,252.37,385.44,0.5,0,0,5,0.1,30,53,14,11,21,0,18,"N"
5,15,5,0,3,0,8,0.21,0,0,8,1,42,1,0,39,3,35.89,25.54,23410.95,0.31,170,0.04,1300.61,916.69,0.13,0,0,36,0.17,83,87,26,16,48,7.14,39,"N"
16,108,18,6,9,0,56,0.41,0,0,42,0.75,241,42,0.75,129,2,65.73,84.55,469829.8,1.85,842,0.01,26101.66,5557.13,0.75,0,0,187,0.35,360,482,66,31,161,10.42,135,"N"
0,3,1,0,0,0,2,0.4,0,0,2,1,6,1,0,5,3,15.5,4.67,337.59,0.02,19,0.21,18.75,72.34,0.5,0,0,6,0.33,7,12,6,8,6,0,5,"N"
0,1,1,0,0,0,1,0.25,0,0,1,1,2,1,0,4,1,10.87,3.5,133.19,0.01,11,0.29,7.4,38.05,1,0,0,3,0.2,4,7,4,7,5,0,4,"N"
1,73,6,0,0,0,37,0.55,0,0,18,0.49,143,18,0.47,67,3,42.08,67.88,193867.69,0.95,466,0.01,10770.43,2856.25,0.49,0,0,108,0.54,181,285,40,30,69,0,67,"N"
1,13,3,0,1,0,7,0.35,0,0,4,0.57,27,1,0,20,3,22.92,21.71,10799.55,0.17,97,0.05,599.98,497.54,0.14,0,0,22,0.3,41,56,17,18,23,4.76,20,"N"
5,1,0,0,15,0,1,0.2,0,0,1,1,1,1,0,5,2,5.8,2,23.22,0,5,0.5,1.29,11.61,1,0,0,2,0.04,1,4,1,4,26,75,5,"N"
2,13,8,2,0,0,8,0.21,0,0,8,1,33,5,0.57,37,1,34.99,21.11,15596.05,0.25,133,0.05,866.45,738.76,0.63,0,0,27,0.19,57,76,27,20,42,5.13,39,"N"
35,14,12,1,3,0,13,0.3,0,0,13,1,28,1,0,43,1,42.11,17.41,12765.08,0.24,128,0.06,709.17,733.17,0.08,0,0,17,0.16,39,89,28,25,83,8.51,44,"N"
4,3,1,0,37,0,2,0.13,0,0,1,0.5,6,1,0,15,3,21.82,10.68,2487.99,0.08,49,0.09,138.22,232.99,0.5,0,0,6,0.04,23,26,14,13,57,71.15,15,"N"
5,1,0,0,0,0,1,0.07,0,0,1,1,1,1,0,15,3,33.1,8.73,2520.95,0.1,68,0.11,140.05,288.86,1,0,0,2,0.05,24,44,11,8,21,0,15,"N"
1,19,7,1,0,0,10,0.48,0,0,5,0.5,39,7,0.67,20,2,31.72,17.63,9853.99,0.19,109,0.06,547.44,559.09,0.7,0,0,31,0.43,47,62,20,15,23,4.76,21,"N"
31,7,4,8,23,10,4,0.14,4,2.5,3,0.75,16,3,0.67,21,2,30.02,21.27,13585.43,0.21,120,0.05,754.75,638.63,0.75,3,5,14,0.05,52,68,22,18,84,59.62,29,"N"
1,11,2,0,0,0,6,0.33,0,0,2,0.33,21,6,1,18,4,19.44,20.64,8283.77,0.13,81,0.05,460.21,401.29,1,0,0,17,0.3,34,47,14,17,20,0,18,"N"
8,52,13,0,11,0,28,0.45,0,0,17,0.61,108,22,0.78,62,2,46.13,44.69,92128.28,0.69,328,0.02,5118.24,2061.61,0.79,0,0,82,0.34,143,185,48,30,82,15.07,62,"N"
3,37,3,0,0,0,19,0.53,0,0,6,0.32,68,11,0.56,36,3,29.61,43.85,56916.12,0.43,230,0.02,3162.01,1298.09,0.58,0,0,51,0.48,95,135,26,24,40,0,36,"N"
90,37,4,26,47,68,19,0.17,32,2.13,5,0.26,80,11,0.56,86,1,41.46,58.45,141635.44,0.81,407,0.02,7868.64,2423.36,0.58,18,34,63,0.08,173,234,37,25,250,45.91,112,"N"
1,3,1,0,0,0,2,0.25,0,0,2,1,7,1,0,8,2,14.86,9.6,1369.94,0.05,32,0.1,76.11,142.7,0.5,0,0,7,0.2,16,16,10,12,10,0,8,"N"
1,19,10,0,0,0,13,0.3,0,0,9,0.69,51,3,0.17,43,1,49.68,20.72,21334.26,0.34,175,0.05,1185.24,1029.46,0.23,0,0,40,0.29,75,100,38,21,45,0,43,"N"
9,59,13,0,5,0,34,0.4,0,0,22,0.65,133,15,0.42,84,2,45.25,61.67,172104.21,0.93,444,0.02,9561.34,2790.72,0.44,0,0,101,0.34,187,257,47,31,99,5.62,84,"N"
12,5,1,2,7,6,3,0.3,2,3,2,0.67,8,3,1,8,1,16.55,10.11,1692.31,0.06,37,0.1,94.02,167.37,1,2,3,7,0.1,13,24,9,14,30,52.94,10,"N"
25,13,1,4,26,24,7,0.19,12,2,1,0.14,29,1,0,32,0,26.82,49.14,64763.93,0.44,240,0.02,3598,1318.04,0.14,6,12,24,0.08,94,146,22,23,88,48.39,36,"N"
0,1,1,0,1,0,1,0.2,0,0,1,1,2,1,0,5,0,7.61,5,190.2,0.01,12,0.2,10.57,38.04,1,0,0,3,0.14,5,7,3,6,7,16.67,5,"N"
0,1,1,0,0,0,1,0.25,0,0,1,1,2,1,0,4,1,12.55,4,200.76,0.02,14,0.25,11.15,50.19,1,0,0,3,0.2,4,10,4,8,5,0,4,"N"
0,1,3,0,0,0,1,0.17,0,0,1,1,4,1,0,6,2,22.59,2.86,184.37,0.02,18,0.35,10.24,64.53,1,0,0,5,0.14,8,10,7,5,7,0,6,"N"
6,17,2,3,0,0,9,0.33,0,0,2,0.22,36,5,0.5,24,2,20.73,30.36,19100.2,0.21,127,0.03,1061.12,629.18,0.56,0,0,29,0.26,50,77,14,17,34,11.11,27,"N"
10,1,0,0,10,0,1,0.08,0,0,1,1,1,1,0,12,1,15.5,9.33,1350.34,0.05,38,0.11,75.02,144.68,1,0,0,2,0.03,14,24,6,8,33,45.45,12,"N"
1,9,0,0,0,0,5,0.45,0,0,1,0.2,18,5,1,11,2,8.96,17,2590.27,0.05,39,0.06,143.9,152.37,1,0,0,15,0.38,17,22,5,10,13,0,11,"N"
3,19,12,0,5,0,10,0.25,0,0,8,0.8,62,3,0.22,40,2,45.51,39.03,69340.63,0.59,287,0.03,3852.26,1776.48,0.3,0,0,54,0.2,133,154,46,27,49,11.11,40,"N"
30,21,5,7,46,38,11,0.27,18,2.11,3,0.27,47,1,0,34,0,45.21,24.8,27807.82,0.37,203,0.04,1544.88,1121.28,0.09,10,19,38,0.09,93,110,30,16,118,60.92,41,"N"
1,3,0,0,0,0,2,0.4,0,0,1,0.5,5,1,0,5,1,13.33,7.5,750,0.03,25,0.13,41.67,100,0.5,0,0,5,0.29,9,16,6,10,7,0,5,"N"
3,9,5,0,0,0,5,0.45,0,0,4,0.8,21,3,0.5,11,2,17.98,17.82,5709.41,0.11,69,0.06,317.19,320.43,0.6,0,0,18,0.33,28,41,11,14,15,0,11,"N"
1,13,2,0,2,0,7,0.26,0,0,4,0.57,27,6,0.83,27,2,19.19,27.6,14618.65,0.18,105,0.04,812.15,529.66,0.86,0,0,22,0.23,46,59,15,18,31,6.9,27,"N"
1,16,0,5,0,0,12,0.26,0,0,1,0.08,34,6,0.45,41,5,26.07,32.25,27117.88,0.28,158,0.03,1506.55,840.86,0.5,0,0,24,0.25,43,115,16,24,48,10.87,46,"N"
0,5,2,0,0,0,3,0.6,0,0,3,1,10,1,0,5,0,13.34,10,1334.38,0.04,32,0.1,74.13,133.44,0.33,0,0,9,0.5,10,22,6,12,6,0,5,"N"
0,6,1,0,0,0,5,0.26,0,0,5,1,12,1,0,19,4,25.77,10.18,2670.15,0.09,54,0.1,148.34,262.33,0.2,0,0,9,0.25,19,35,14,15,20,0,19,"N"
1,3,2,0,1,0,2,0.29,0,0,2,1,7,1,0,7,1,15.92,6.29,629.06,0.03,24,0.16,34.95,100.08,0.5,0,0,7,0.2,8,16,7,11,10,12.5,7,"N"
3,3,1,0,0,4,2,0.33,2,2,1,0.5,6,1,0,6,2,13.83,11.25,1750.38,0.05,36,0.09,97.24,155.59,0.5,1,2,6,0.2,15,21,8,12,10,0,6,"N"
1,1,1,0,0,0,1,0.13,0,0,1,1,2,1,0,8,4,12,6.67,533.33,0.03,20,0.15,29.63,80,1,0,0,3,0.1,8,12,6,10,10,0,8,"N"
4,3,5,0,0,0,2,0.2,0,0,2,1,10,1,0,10,1,34.4,4,550.43,0.05,33,0.25,30.58,137.61,0.5,0,0,10,0.13,16,17,12,6,15,0,10,"N"
1,5,2,0,0,0,3,0.5,0,0,2,0.67,11,1,0,6,1,17.3,4.2,305.12,0.02,21,0.24,16.95,72.65,0.33,0,0,10,0.38,7,14,5,6,8,0,6,"N"
6,9,2,0,5,0,5,0.22,0,0,4,0.8,19,3,0.5,23,2,19.11,23.43,10491.03,0.15,88,0.04,582.83,447.7,0.6,0,0,16,0.14,37,51,15,19,35,17.86,23,"N"
1,3,1,0,0,0,2,0.4,0,0,2,1,7,1,0,5,3,11.52,5.6,361.36,0.02,18,0.18,20.08,64.53,0.5,0,0,7,0.29,8,10,5,7,7,0,5,"N"
1,1,1,0,0,0,1,0.1,0,0,1,1,2,1,0,10,2,15.9,6.43,656.91,0.03,25,0.16,36.5,102.19,1,0,0,3,0.08,9,16,7,10,12,0,10,"N"
1,3,0,0,0,0,2,0.4,0,0,1,0.5,6,1,0,5,3,11.07,4.38,211.89,0.02,14,0.23,11.77,48.43,0.5,0,0,6,0.29,5,9,4,7,7,0,5,"N"
0,1,0,0,0,0,1,0.25,0,0,1,1,1,1,0,4,1,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,2,0.2,2,3,2,3,5,0,4,"N"
1,1,2,0,0,0,1,0.2,0,0,1,1,3,1,0,5,1,16.65,4.67,362.64,0.03,21,0.21,20.15,77.71,1,0,0,4,0.14,8,13,6,7,7,0,5,"N"
1,7,1,0,0,0,4,0.67,0,0,2,0.5,14,4,1,6,1,10.69,9,865.9,0.03,26,0.11,48.11,96.21,1,0,0,12,0.5,8,18,4,9,8,0,6,"N"
1,13,2,0,1,0,7,0.47,0,0,3,0.43,25,1,0,15,3,22,22.11,10748.84,0.16,92,0.05,597.16,486.26,0.14,0,0,20,0.39,42,50,19,20,18,6.25,15,"N"
0,3,0,0,1,0,2,0.33,0,0,1,0.5,6,1,0,6,0,5.05,13.5,919.54,0.02,19,0.07,51.09,68.11,0.5,0,0,6,0.25,9,10,3,9,8,14.29,6,"N"
24,9,2,5,15,16,5,0.22,8,2,3,0.6,17,1,0,18,1,15.77,32.31,16460.25,0.17,101,0.03,914.46,509.48,0.2,4,8,14,0.08,42,59,13,20,63,52.63,23,"N"
18,3,2,3,12,4,2,0.15,2,2,2,1,7,1,0,10,1,18.36,10.2,1910.42,0.06,42,0.1,106.13,187.3,0.5,1,2,7,0.05,17,25,10,12,44,60,13,"N"
60,3,8,8,34,4,2,0.06,2,2,2,1,14,1,0,23,0,47.21,17.87,15085.27,0.28,162,0.06,838.07,843.93,0.5,1,2,14,0.02,66,96,24,13,126,64.62,31,"N"
1,7,3,0,0,0,4,0.4,0,0,3,0.75,16,3,0.67,10,3,18.8,11,2275.01,0.07,44,0.09,126.39,206.82,0.75,0,0,14,0.33,22,22,13,13,12,0,10,"N"
0,3,0,0,1,0,2,0.67,0,0,1,0.5,5,1,0,3,0,8.15,3.5,99.85,0.01,9,0.29,5.55,28.53,0.5,0,0,5,0.4,2,7,2,7,5,25,3,"N"
0,3,0,0,0,0,2,0.15,0,0,1,0.5,5,1,0,13,1,18.86,5.5,570.49,0.03,24,0.18,31.69,103.73,0.5,0,0,5,0.14,9,15,9,11,14,0,13,"N"
30,11,2,9,17,20,6,0.19,10,2,5,0.83,24,1,0,23,1,30.74,15.56,7439,0.16,94,0.06,413.28,478.22,0.17,5,10,20,0.08,35,59,18,16,80,53.06,32,"N"
12,4,3,1,5,0,3,0.16,0,0,3,1,12,1,0,18,2,30.21,9.6,2784.46,0.1,61,0.1,154.69,290.05,0.33,0,0,11,0.08,24,37,15,12,37,25,19,"N"
2,13,3,0,1,0,7,0.39,0,0,4,0.57,30,7,1,18,5,31.61,18.67,11013.33,0.2,118,0.05,611.85,590,1,0,0,25,0.32,48,70,18,14,22,5.26,18,"N"
13,7,4,1,13,12,4,0.27,6,2,4,1,14,1,0,14,2,21.38,9.5,1929.74,0.07,47,0.11,107.21,203.13,0.25,3,6,12,0.1,19,28,10,10,42,50,15,"N"
